Species,ID,attach.type,Geo.Code,Initial.Age,H.AGE,S.AGE,experience.breeding,Sex,Treatment,Date.of.Initial.fitting,shot.recovered.date,Capture.Lat,Capture.Lon,Recapture.Lat,Recapture.Lon
WODU,104524826,N,H467,ASY,AHY,ASY,P,F,NEST,4/27/2014,4/16/2015,,,,
WODU,104575834,N,,ASY,AHY,ASY,P,F,NEST,4/26/2014,5/14/2015,,,,
WODU,109507269,L,H625,ASY,AHY,ASY,P,F,CAPTURE,1/11/2014,4/26/2014,,,,
WODU,109507319,L,V599,AHY,AHY,ASY,P,F,CAPTURE,10/5/2015,7/11/2017,,,,
WODU,110525107,L,V598,AHY,AHY,ASY,P,F,CAPTURE,9/30/2015,4/10/2016,,,,
WODU,110525275,L,H646,ASY,AHY,ASY,P,F,NEST,4/5/2014,8/26/2014,,,,
WODU,110525304,L,Q104,ASY,AHY,ASY,P,F,NEST,5/4/2015,4/22/2016,,,,
WODU,110525304,L,Q104,ASY,AHY,ASY,P,F,NEST,4/22/2016,3/10/2017,,,,
WODU,110525879,N,Q844,ASY,AHY,ASY,P,F,NEST,4/24/2015,4/5/2016,,,,
WODU,110525879,N,Q844,ASY,AHY,ASY,P,F,NEST,5/4/2016,9/16/2016,,,,
WODU,110525879,N,Q844,ASY,AHY,ASY,P,F,NEST,9/16/2016,4/14/2017,,,,
WODU,110525887,N,Q853,ASY,AHY,SY,F,F,NEST,5/16/2014,1/17/2015,,,,
WODU,110525887,N,Q853,ASY,AHY,ASY,P,F,CAPTURE,1/17/2015,1/25/2015,,,,
WODU,110525887,N,Q853,ASY,AHY,ASY,P,F,CAPTURE,1/25/2015,5/10/2015,,,,
WODU,110525928,L,W579,ASY,AHY,ASY,P,F,NEST,4/22/2016,3/27/2017,,,,
WODU,110525932,N,H474,ASY,AHY,ASY,P,F,NEST,4/14/2014,5/31/2014,,,,
WODU,110525978,L,Q100,ASY,AHY,ASY,P,F,NEST,5/5/2015,4/30/2016,,,,
WODU,110563084,L,V596,AHY,AHY,ASY,P,F,CAPTURE,10/5/2015,3/15/2016,,,,
WODU,110563232,L,W575,ASY,AHY,ASY,P,M,CAPTURE,4/15/2016,3/27/2017,,,39.4997,-118.935
WODU,110563402,L,H639,ASY,AHY,ASY,P,F,NEST,5/5/2014,9/6/2014,,,,
WODU,110563402,L,H639,ASY,AHY,ASY,P,F,CAPTURE,9/6/2014,1/16/2015,,,39.2,-118.5
WODU,110563444,L,Q107,ASY,AHY,ASY,P,F,NEST,4/17/2015,1/1/2016,,,,
WODU,110563536,L,H647,ASY,AHY,ASY,P,F,NEST,5/12/2014,5/10/2015,,,,
WODU,110563602,L,Q112,ASY,AHY,ASY,P,F,NEST,4/14/2015,4/16/2016,,,,
WODU,110563602,L,Q112,ASY,AHY,ASY,P,F,NEST,4/23/2016,5/9/2017,,,,
WODU,110563628,N,H486,ASY,AHY,ASY,P,F,CAPTURE,11/2/2013,2/2/2014,,,,
WODU,110563628,N,H475,ASY,AHY,ASY,P,F,CAPTURE,2/2/2014,3/21/2015,,,,
WODU,110563634,L,H623,ASY,AHY,ASY,P,F,CAPTURE,11/8/2013,2/2/2014,,,,
WODU,110563805,N,Q851,ASY,AHY,ASY,P,F,CAPTURE,3/28/2015,10/30/2015,,,,
WODU,110563805,N,Q851,ASY,AHY,ASY,P,F,CAPTURE,10/30/2015,3/12/2016,,,,
WODU,110594017,N,,AHY,AHY,SY,P,F,CAPTURE,11/2/2013,12/3/2014,,,,
WODU,110594017,N,,AHY,AHY,ASY,P,F,CAPTURE,12/3/2014,12/18/2014,,,,
WODU,110594054,N,Q850,ASY,AHY,ASY,P,F,NEST,5/4/2015,9/21/2015,,,,
WODU,110594221,L,Q101,ASY,AHY,ASY,P,F,NEST,4/21/2015,4/3/2016,,,,
WODU,110594247,L,V609,AHY,AHY,SY,P,F,NEST,10/5/2015,10/30/2016,,,,
WODU,110594285,L,Q114,SY,AHY,SY,F,F,NEST,4/21/2015,4/3/2016,,,,
WODU,110594285,L,Q114,SY,AHY,SY,F,F,NEST,4/8/2016,5/21/2016,,,,
WODU,110594285,L,Q114,SY,AHY,SY,F,F,NEST,5/21/2016,6/16/2016,,,,
WODU,110594285,L,Q114,SY,AHY,SY,F,F,NEST,6/16/2016,5/19/2017,,,,
WODU,110594290,N,Q837,SY,AHY,SY,F,F,NEST,6/4/2015,9/21/2015,,,,
WODU,110594295,N,,SY,AHY,SY,F,F,NEST,6/2/2015,4/18/2016,,,,
WODU,110594304,N,H465,HY,AHY,ASY,P,F,NB-YG-NS,10/24/2013,7/5/2014,,,,
WODU,110594307,N,H489,HY,HY,,F,F,CAPTURE,10/24/2013,11/26/2013,,,,
WODU,110594311,N,H483,HY,HY,,F,F,CAPTURE,10/24/2013,12/21/2014,,,,
WODU,110594323,L,W559,ASY,AHY,ASY,P,M,CAPTURE,4/15/2016,3/10/2017,,,39.4997,-118.935
WODU,110594333,L,H615,HY,AHY,ASY,P,F,CAPTURE,11/2/2013,11/27/2014,,,39.2,-118.5
WODU,110594523,L,Z264,ASY,AHY,ASY,P,F,CAPTURE,5/18/2016,5/21/2016,,,,
WODU,110594573,L,Q115,ASY,AHY,ASY,P,F,NEST,4/24/2015,1/1/2016,,,,
WODU,110594644,N,H479,ASY,AHY,ASY,P,F,CAPTURE,11/18/2013,1/25/2015,,,,
WODU,110594765,L,H631,HY,HY,,F,F,CAPTURE,11/2/2013,12/18/2014,,,,
WODU,110594765,L,H631,HY,AHY,ASY,P,F,CAPTURE,12/18/2014,1/25/2015,,,,
WODU,110594791,L,V535,ASY,AHY,ASY,P,F,NEST,4/10/2016,3/25/2017,,,39.47,-118.82
WODU,110594826,L,H614,HY,HY,,F,F,CAPTURE,10/24/2013,1/10/2014,,,,
WODU,110594878,N,Q852,ASY,AHY,ASY,P,F,CAPTURE,9/21/2013,5/23/2014,,,,
WODU,110594878,N,Q852,ASY,AHY,ASY,P,F,CAPTURE,5/23/2014,12/21/2014,,,,
WODU,110594878,N,Q852,ASY,AHY,ASY,P,F,CAPTURE,12/21/2014,4/4/2015,,,,
WODU,110594907,L,H638,SY,AHY,SY,F,F,CAPTURE,5/14/2014,4/8/2015,,,,
WODU,110594907,L,q103,SY,AHY,ASY,P,F,NEST,6/1/2016,4/15/2017,,,,
WODU,110594945,N,H482,SY,AHY,SY,F,F,NEST,4/24/2014,4/2/2015,,,,
WODU,110594945,N,Q856,SY,AHY,ASY,P,F,NEST,5/2/2015,4/4/2016,,,,
WODU,110594985,N,Q854,ASY,AHY,ASY,P,F,NEST,5/20/2015,4/23/2016,,,,
WODU,110594985,N,Q854,ASY,AHY,ASY,P,F,NEST,4/23/2016,5/19/2016,,,,
WODU,116538142,L,H615,ASY,AHY,ASY,P,F,CAPTURE,12/21/2014,1/25/2015,,,,
WODU,116538142,L,H615,ASY,AHY,ASY,P,F,CAPTURE,1/25/2015,4/4/2015,,,,
WODU,116538161,N,Q834,SY,AHY,SY,F,F,CAPTURE,1/25/2015,3/28/2015,,,,
WODU,116538168,L,H646,ASY,AHY,ASY,P,F,CAPTURE,1/25/2015,3/21/2015,,,,
WODU,116538192,N,Q836,SY,AHY,SY,F,F,CAPTURE,1/31/2015,5/1/2015,,,,
WODU,116538194,N,Q833,SY,AHY,ASY,P,F,CAPTURE,3/28/2015,3/15/2016,,,,
WODU,116538194,N,Q833,SY,AHY,ASY,P,F,CAPTURE,3/15/2016,5/16/2016,,,,
WODU,116538229,L,Q120,SY,AHY,SY,F,F,CAPTURE,4/3/2015,10/24/2015,,,,
WODU,116538230,L,Q123,SY,AHY,SY,F,F,CAPTURE,4/3/2015,4/26/2016,,,,
WODU,116538244,N,,AHY,AHY,SY,P,F,CAPTURE,10/24/2015,3/15/2016,,,,
WODU,116538244,N,,AHY,AHY,ASY,P,F,CAPTURE,3/15/2016,5/30/2016,,,,
WODU,116538256,N,,HY,AHY,ASY,P,F,CAPTURE,9/30/2015,4/16/2016,,,,
WODU,116538615,N,,AHY,AHY,ASY,P,F,CAPTURE,10/24/2015,8/25/2017,,,,
WODU,116538676,L,W574,SY,AHY,SY,F,F,CAPTURE,4/15/2016,6/30/2016,,,,
WODU,116538676,L,W574,SY,AHY,SY,F,F,CAPTURE,6/30/2016,12/3/2016,,,39.47,-118.82
WODU,116538680,L,Z253,ASY,AHY,SY,F,F,NEST,5/14/2016,2/25/2017,,,39.47,-118.82
WODU,116538682,L,W578,SY,AHY,SY,F,F,NEST,5/20/2016,4/25/2017,,,39.47,-118.82
WODU,116538686,L,Z273,SY,AHY,SY,F,M,CAPTURE,5/22/2016,9/16/2016,,,39.47,-118.82
WODU,116538687,L,Z271,ASY,AHY,ASY,P,M,CAPTURE,5/22/2016,7/1/2017,,,,
WODU,116538717,L,Z272,SY,AHY,SY,F,F,CAPTURE,6/2/2016,8/25/2017,,,39.47,-118.82
WODU,116538736,L,Z254,ASY,AHY,SY,F,F,CAPTURE,6/7/2016,3/25/2017,,,39.47,-118.82
WODU,116538766,L,Z260,ASY,AHY,ASY,P,F,CAPTURE,6/18/2016,7/11/2017,,,39.47,-118.82
WODU,116591708,L,BB609,SY,AHY,ASY,P,M,CAPTURE,4/14/2017,8/25/2017,,,39.47,-118.82
WODU,116591709,L,BB615,ASY,AHY,ASY,P,M,CAPTURE,4/14/2017,11/8/2017,,,39.2,-118.4
